Reviews,Aspect
"they are thin near the tips, which is good for spearing things, but when I bent the tip, I could easily break it off with no problem",Durability
They're very sturdy ,Durability
You can wash and re-use easily,Ease of Reprocessing
"and the comfort, playability, and durability are evident upon first use",Ease of Use
also comfortable,Ergonomics
"and the comfort, playability, and durability are evident upon first use",Ergonomics
have a nice feel ,Ergonomics
"I felt much better using them than plastic ones.
",Aesthetics
"The box will last me quite awhile, too, which is great",Aesthetics
"The packaging is great too, so folks can easily grab whichever utensil they want.
",Aesthetics
dissappointed in the quality of the forks,Performance
Great product ,Performance
They do the job well ,Performance
They were surprisingly effective for cutting turkey and ham,Performance
they weren't a huge investment,Price
"And the additional organization provided by the ""pockets"" on all sides not only protects glass items",Adaptability
"and the interior sleeves work great to keep bottles in place in a full bag.
",Adaptability
"I really like the bottle pockets,",Adaptability
The bottle sleeves are very useful to keep bottles or other long heavy items upright,Adaptability
"The inside pockets keep bottles of juice, milk, wine upright with other groceries in center of bag.",Adaptability
versatile,Adaptability
Pleasant color,Aesthetics
Loved these bags until I washed them. All three shrink,Durability
strong.,Durability
sturdy ,Durability
"Sturdy, well made bags",Durability
these are very strong bags,Durability
These bags are very sturdy,Durability
they are still in great shape,Durability
"very durable,",Durability
Very sturdy,Durability
Very sturdy,Durability
"When I removed them from the washing machine, they had shrunk by more than one-third. 
",Durability
it was easy to sew up.,Ease of Reprocessing
"Machine washable, that was very important to me
",Ease of Reprocessing
plus easy to wash,Ease of Reprocessing
" fold two of the bags and store them in the third, keeping the bags in my car ",Ease of Storage
Fold flat so they fit in the trunk with no worries,Ease of Storage
Storing them is easy enough,Ease of Storage
Easy to load,Ease of Use
makes unloading simpler,Ease of Use
The bottle sleeves are very useful to keep bottles or other long heavy items upright,Ease of Use
which is that it doesn't stand up on it's own. I either use one hand to hold it and the other to fill it,Ease of Use
handles are excellent for over-the-shoulder carrying as well as in the hand,Ergonomics
the bags are quite bulky so it makes a difference having to carry 3 instead of 2,Ergonomics
They are a soft cotton,Ergonomics
wide straps to comfortably hang from your shoulder,Ergonomics
"Wide, comfortable straps
",Ergonomics
I have often been frustrated by the bag's inability to stay open when I am filling it,Interference
I like both the straps and side pockets,Aesthetics
"I like to buy products made in the United States when possible, just a personal preference. I called the company and asked where these were manufactured and they said for the most part India.
",Aesthetics
"and the interior sleeves work great to keep bottles in place in a full bag.
",Performance
Excellent product!,Performance
hold a lot of weight and products,Performance
"I wish the bags had come with some kind of rigid base for the bottom to prevent items from bunching up into a ball when the bag isn't filled tightly.
",Performance
Roomy,Performance
stay square and carry a ton of groceries or other random heavy crap,Performance
The bottle sides are awesome for wine not squishing the rest of your groceries,Performance
These bags hold a lot!,Performance
they have been great,Performance
"You can fit a lot into one bag.
",Performance
- They were a little smaller in size than what I was thinking they'd be,Aesthetics
bags appear to shrink and the colors definitely bleed,Aesthetics
" I have to buy fewer items than I would with normal-sized bags.
",Use Efficiency
have to use 3 bags to carry not even 2 bags worth of groceries,Use Efficiency
I have often been frustrated by the bag's inability to stay open when I am filling it,Use Efficiency
it makes unloading simpler,Use Efficiency
but the spray settings really didn't get it done,Adaptability
I especially like the flow control,Adaptability
"1. Ours leaked, again probably just a bad unit - just a bit out of the back part of the hookup area.
",Durability
"Decent heft, felt fairly solid overall.",Durability
DOES NOT shut off the unit only makes the cheap connections leak even worse.,Durability
It doesn't rust,Durability
It leaks from every connection,Durability
They have always leaked no matter what I do,Durability
VERY secure,Durability
"metal hose is NOT metal and is too short, and not very flexable",Ease of Use
problem is the connector/holder angle limits the movement of the showerhead,Ease of Use
The hose is also extremely stiff.,Ease of Use
The hose really is stiff ,Ease of Use
we basically had to sit underneath the shower head directly next to the shower wall to get under the water.,Ease of Use
my wife didn't like it because this one is too heavy to her,Ergonomics
Less dense: if you drop metal on your bare toes you will appreciate this. Also won't chip tile.,Interference
Nice and quiet,Interference
4. Over-tightened metal parts can make subsequent cleaning or repairs difficult to accomplish.,Aesthetics
"Easy to install and reinstall. Nice and quiet. I especially like the flow control. I also like the ability to adjust the flow. There are three settings on it. my wife didn't like it because this one is too heavy to her. She says it feels like an old-fashioned iron that's slippery.
",Aesthetics
Easy to use and install..,Aesthetics
Installation was fairly straightforward,Aesthetics
"It sits up extremely high and precariously on its cradle, though",Aesthetics
"It will be easy to install (if you follow the directions)
",Aesthetics
This seemed pretty easy to install ,Aesthetics
" It is more than adequate for taking showers, rinsing, etc",Performance
and it definitely did not provide high enough pressure.,Performance
DOES NOT shut off the unit only makes the cheap connections leak even worse.,Performance
gets the job done,Performance
"I didn't have very high expectations as far as water pressure, but I'm left disappointed nonetheless.",Performance
pressure is actually quite good with the flow regulator in place,Performance
saves water because barely any comes out,Performance
"You're going to get a nice flow from this shower head.
",Performance
"It will save you money and cut down on water consumption.
",Price
"I really liked that this had sort of a ""C"" shaped hose holder instead of the normal sort of upside ""U"" holders, I find those easily fail, resulting in my getting hit in the head with the showerhead.",Safety
Less dense: if you drop metal on your bare toes you will appreciate this. Also won't chip tile.,Safety
VERY secure,Safety
 bought this for my trip to the yellowstone and i found this one very useful,Adaptability
"I am moving on my own right now and it is a big help with keeping a light meal or snack and beverage ready for use.
",Adaptability
My husband love road traveling a lot. This fridge is his one of his favor stuff now,Adaptability
Worked great for our road trip,Adaptability
 aesthetically nice.,Aesthetics
After only 3 months it broke,Durability
strong sturdy quality ,Durability
the only thing is this cooler cant hold the temperature low for long if it stays in the car under the sun,Durability
light and easy to hook up ,Ease of Use
It's quiet,Interference
the fan is really noisy,Interference
The fan on this is very loud,Interference
but after that it's as consistent as my refrigerator.,Performance
Cools just fine ,Performance
"I am moving on my own right now and it is a big help with keeping a light meal or snack and beverage ready for use.
",Performance
"Keeps cans of soda cold. I was surprised it worked so well
",Performance
keeps my drinks really cold ,Performance
"So far, so good.
",Performance
This machine works great also improved our road trip quality,Performance
Worked great for our road trip,Performance
The quality of the product is not worth the cost,Price
Very good value. ,Price
You can't fit more than that.,Ease of Storage
keeps my drinks really cold and pretty quickly,Use Efficiency
Takes 24 hours to get cold ,Use Efficiency
the temperature cools down really fast,Use Efficiency
Almost too many neat features ,Adaptability
It can put out an amazing amount of steam to unwrinkle many obstinate creases,Adaptability
it is easy to use and great for all fabrics.,Adaptability
"Steam is strong and all the way to the tip, which is great for getting into small spots",Adaptability
This is a beautiful Iron,Aesthetics
Good sturdy iron,Durability
"However, the iron leaks water. It leaks even when in the DRY position",Durability
"I actually like the weight; lighter irons often feel like they're not very durable.
",Durability
I have always purchased Rowenta products because i find there brand to be reliable. But this iron really takes it to the next level,Durability
The piece on the water supply inlet broke and like other comments the iron leaks water from the base,Durability
The power cord is cheaply made mine cracked on the first month of normal use.,Durability
Easy to use,Ease of Use
is easy to use,Ease of Use
it is easy to use and great for all fabrics.,Ease of Use
It has a comfort handle,Ergonomics
but the heat knob setting can easily be dislodged and altered by fat fingers like mine,Interference
"Its a pain to add water and to empty every day.
",Interference
it has a very large water reservoir,Aesthetics
"I recommend this product as it works well.
",Performance
"It gets hot, it irons clothes",Performance
it worked flawlessly,Performance
it works better than an Iron I have had ,Performance
"WOW! best iron ive ever owned!
",Performance
"For the price, this iron should be of better quality.",Price
great price,Price
" The iron takes moments to heat up, ",Use Efficiency
Gets hot really fast! ,Use Efficiency
heats up quickly,Use Efficiency
works very fast.,Use Efficiency
"I wash personal laundry, t shirts, jeans, towels, wash cloths, twin sized sheets and pillowcases.",Adaptability
"It's also great for road trips and camping!
",Adaptability
 the support that holds everything together is not as sturdy as we thought ,Durability
poor durability ,Durability
Sturdy,Durability
"The cheap, flimsy plastic housing broke after fifth usage.",Durability
They definitely could have made it more durable,Durability
Assembly was easy. It's light weight.,Ease of Use
This little machine is so easy to put together ,Ease of Use
compact,Ease of Storage
My daughter is a College Student and needed something portable that didn't require electricity due to dorm room regulations,Ease of Storage
"easy to use,",Ease of Use
The hand crank is very very very easy to turn,Ease of Use
kids had fun spinning it.,Performance
The suction cups at the bottom of the machine mean business- if you set this down in a tub or on a tiled surface you'll need to put some effort into getting it back up,Interference
great job on getting clothes clean,Performance
It works really well! ,Performance
Works excellent!!! ,Performance
"works very well,",Performance
Works very well! My clothes come out very clean,Performance
"I am so happy to save money that would've been used at the laundromat.
",Price
"It has already PAID for itself in time savings, cost and product use.",Price
"making it easy on the budget as well.
",Price
This washer is such a great money saving idea!,Price
efficient,Use Efficiency
"Fast,",Use Efficiency
"It holds a lot more clothing than I thought it would.
",Use Efficiency
It takes up to 2 minutes of time to wash,Use Efficiency
"At the beginning I didn't notice but the towels have two sides that are different in texture.
One side is softer and silkier and the other side more absorbent.",Adaptability
"I also like the size, color, feel, and weight of this towel",Aesthetics
"The chocolate color is a very rich brown, very nice.",Aesthetics
 it keeps its shape and doesn't pill or have stray strands.,Durability
" no pilling or loose threads,",Durability
A few loops in the middle of the towel were pulled out after it's first wash.,Durability
"After pulling them out of the dryer I was soo disappointed to find them falling apart and shedding everywhere.
",Durability
good quality fabric,Durability
I have washed them three times already and they have washed very well,Durability
They are thick and plush and have held up to washing,Durability
They are very very soft but were already coming apart when they arrived. ,Durability
"We used the towels already several times and I don't see any issues.
",Durability
dries quickly enough on the rack (overnight),Ease of Reprocessing
dry quickly,Ease of Reprocessing
good quality fabric,Ergonomics
"I also like the size, color, feel, and weight of this towel",Ergonomics
soft,Ergonomics
They are comfortable,Ergonomics
Very soft,Ergonomics
absorb well,Performance
absorbent,Performance
Good product so far.,Performance
good quality fabric,Performance
I've had a set for at least 3 months and the are great,Performance
They are thirsty towels,Performance
This towel is excellent,Performance
I've purchased towels for less than half the price of this one without any problems for years,Price
The organic cotton and fair price are great too.,Price
this towel is well priced,Price
very good deal,Price
have a nice weight to them,Aesthetics
"On the down side, they have snagged in a few places but not anything major",Aesthetics
This towel is excellent with absorption speed,Use Efficiency
All my current set of cookware works with the induction surface,Adaptability
I put in our RV and it's great.,Adaptability
"makes sandwiches a breeze, stir fry, saute, eggs, pancakes, I don't believe you can beat it",Adaptability
"The only thing my stove has that this does not is I can only cook one thing at a time, Solution!?
",Adaptability
they will operate anywhere there is an electrical outlet,Adaptability
Not going to change the rating though because of the lack of an on/off switch.,Interference
precise temperature controls,Interference
around the third use this product stopped working,Durability
comes with a great non-stick pan that seems to keep its non-stick capability longer than other pans I had in the past,Durability
died 6 weeks after purchase,Durability
"The pan is wonderful also, crazy easy clean up",Ease of Reprocessing
and it is easy to adjust the heat up and down as needed,Ease of Use
"once you set the temp, you don't have to continually adjust it",Ease of Use
the temperature is much better controlled than on a conventional electric stove,Ease of Use
comes with a great non-stick pan that seems to keep its non-stick capability longer than other pans I had in the past,Interference
Food just slides off of it,Interference
"once you set the temp, you don't have to continually adjust it",Interference
The cook pan that was included is heavy duty ceramic non-stick.,Interference
"the noise it creates makes it hard to watch TV, listen to music, or talk on the phone without turning the volume up.
",Interference
"cooks food evenly.
",Performance
fry pan is really terrific,Performance
I put in our RV and it's great.,Performance
"keeps the temperature, ",Performance
The temperature seems to be accurate,Performance
"Although still fairly hot, I can actually touch the cooktop surface right after cooking",Safety
safer to use,Safety
Boiled water in my cheap stainless coffee pot in just over a minute,Use Efficiency
"heats up fast, ",Use Efficiency
It heats up super fast,Use Efficiency
it saves me hours of time in the kitchen,Use Efficiency
this one is even more efficient,Use Efficiency
Other than that we love them. Illuminate the front of the house at dusk and turn off at dawn.,Adaptability
"Was skeptical they would work in the light fixtures on my entry door since the fixtures are dark metal that covers a lot of the bulb, but these bulbs manage to sense the daylight well.",Adaptability
look good,Aesthetics
"However, one in my four-pack died after one month. Not sure if these are winners yet.",Durability
"one bulb stopped working after 3 weeks. do not buy.
",Durability
"Only 3 stars because 3/4 are working as described, the other has already blown out",Durability
"Fits in housing well. Works on a cloudy day very well (won't come on until completely dark). However, one in my four-pack died after one month. Not sure if these are winners yet.


1 star (1)
Bynom de guerre deep southon July 29, 2018
Size: Daylight",Ease of Use
These bulbs fit well in regular fixtures,Ease of Use
I have used them for the past 2 months and like how I don't have extensions and sensors all over the place,Interference
" My only ""problem"" is they don't give off that much light.",Performance
"Just the right amount of light - not too bright or too dim.
",Performance
"The daylight bulb provides a bright white light, which satisfied my needs",Performance
These lights are great and they supply good lighting. Not too bright and not too dim.,Performance
These meet my lighting needs perfectly,Performance
These work great,Performance
They are bright,Performance
They have worked well ,Performance
"Very good quality and enough bright to cover the front area of garage
",Performance
work very well for dusk to dawn exterior lighting,Performance
and the annual cost for all this lighting should be less than 3 bucks.,Price
six watt bulbs provide a low operating cost,Price
"I carry my tablet, my camera, a spare lens, some pens, and sketch pad, and my wallet in this bag",Adaptability
I have traveled with this bag,Adaptability
"There are no zipped compartments for smaller items.
",Adaptability
Versatile bag,Adaptability
 it is really beautiful ,Aesthetics
good looking,Aesthetics
"I love the look of it,",Aesthetics
It looks great,Aesthetics
still looks good,Aesthetics
Durable,Durability
durable enough to spend most of its life on construction sites and train seats,Durability
"durable,",Durability
"It also feels, very durable",Durability
"It is durable,",Durability
the fabric seems very durable ,Durability
but difficult to use.,Ease of Use
easy to use.,Ease of Use
"it makes it quick and easy for me at the airport security.
",Ease of Use
Comfortable to carry,Ergonomics
It is comfortable enough to carry all day,Ergonomics
the handle is not centered and when you carry it by the handle it is not comfortable,Ergonomics
"It is not centered well , so when u carry the bag using the handle it tends to tilt.
",Interference
"My only complaint, which is why it's 4 stars not 5, is the location of the pen holder. My 4-year-old is able to steal my pens with ease.
",Interference
One of the problems with bags like these is the lack of pockets. This bag solves that issue with at least 8 different compartments.,Aesthetics
The handle is not aligned along the center of gravity making it useless.,Aesthetics
the laptop compartment is not padded on the back. ,Aesthetics
There is no padding for the laptop on the side closest to your body.,Aesthetics
and fits my laptop perfectly,Performance
I use it to transport my MacBook 13' and iPad Pro 10.5. Both fit with ease along with chargers.,Performance
"it fits my 17.3"" Beautifully and has plenty of added storage,",Performance
padded to keep my items safe,Performance
"works great so far,",Performance
For the price this is a good product.,Price
"Other than that it is good value for the money.
",Price
priced right,Price
"it makes it quick and easy for me at the airport security.
",Use Efficiency
but nice/dark line,Aesthetics
"Writes a little ""thin""",Aesthetics
"Also the clip is decently strong and doesn't break easily, ",Durability
pens last a long time ,Durability
Several of these broke early on when I bought them,Durability
they last,Durability
They write forever,Durability
very strong holds up super well- up to a year or two,Durability
comfortable in my hand,Ergonomics
"Comfortable to hold, ",Ergonomics
has a comfortable cushion grip.,Ergonomics
It’s comfortable to hold and write with,Ergonomics
quality comfortable cushioning,Ergonomics
It does not smudge,Interference
My only critique of this pen is that sometimes it lets out too much ink so you have tiny splotches of ink.,Interference
and when they do they are smoooooth. ,Performance
have a steady ink flow and are smooth writing,Performance
It does not smudge,Performance
quality item,Performance
really good to write with,Performance
smooth writing. Never any skips or bleeds. ,Performance
The ink in 3 out of the 5 pens was dried out making them unusable,Performance
These are great! ,Performance
These pens are amazing for note taking,Performance
"They write okay, ",Performance
Good price,Price
I think they are a bit over priced for a recycled product,Price
"The AP price is great as well,",Price
"well priced.
",Price
 have a significant number of these batteries now and have yet to have one fail.,Durability
controllers drain theses batteries much faster ,Durability
first set is still going strong after about s year and half,Durability
I have been pleasantly supplied as they last just as long as their alkaline counterparts.,Durability
Just don't hold a charge well,Durability
may need to be charged slightly more often than other brands.,Durability
they are well build,Durability
they go through power a lot faster than typical batteries,Durability
they hold a charge for a really long time,Durability
they hold onto their charge for years,Durability
I don't find it inconvenient to recharge them,Ease of Reprocessing
They charge well ,Ease of Reprocessing
"Although they work, ",Performance
Fantastic products! ,Performance
they do seem to have slightly less power ,Performance
they work great,Performance
" bought these, hoping to save some money in the long-run and I definitely have",Price
"I was glad to be able to buy these in a quantity that gave me a price break.
",Price
Totally happy with them and you honestly can't beat the price or ask for a better quality battery at this price. ,Price
 It looks good when up ,Aesthetics
beautiful. ,Aesthetics
gorgeous.,Aesthetics
"looks gorgeous, ",Aesthetics
Looks so classy. ,Aesthetics
Not only is this a fantastic beautiful,Aesthetics
but be careful it's very fragile stuff.,Durability
"The adhesive tape they use is very strong and stays on with no problem.
",Durability
Wood is peeling from the sticky tapes,Durability
" found a way to remove the sticky backs, but it isn't easy and makes the whole task 5 times more difficult and slower",Ease of Use
Awesome and easy.,Ease of Use
"Easy installation
",Ease of Use
"Easy to cut, but backing difficult to peel",Ease of Use
easy to install ,Ease of Use
"Installation is simple and easy, ",Ease of Use
It was so easy to install,Ease of Use
It was so easy to put up and work with,Ease of Use
"Only thing I can say that I wasn't a big fan was the tape, it could be a real pain sometimes trying to peel off the backing.",Ease of Use
This was such an easy to do diy project,Ease of Use
"went up easily, ",Ease of Use
Excellent quality,Performance
This product was perfect,Performance
Too pricey for product,Price
" found a way to remove the sticky backs, but it isn't easy and makes the whole task 5 times more difficult and slower",Use Efficiency
"I'm 35 and took me 8 hrs by myself for 120 sq ft wall.
",Use Efficiency
Foil is very thin and tears easily.,Durability
foil was the thinnest I have ever seen in my life and tears and/or punctures very easily.,Durability
It tears very easily,Durability
"it tears, ",Durability
it's paper thin and tears easily,Durability
"it's very flimsy and tears easily,",Durability
not so thin it tears easily,Durability
"It's usable, but barely",Ease of Use
 You'll need to use 4x the amount of this product as compared to a decent brand.,Aesthetics
but this foil is just not good,Performance
goo quality,Performance
"overall good quality
",Performance
works perfectly ,Performance
Great savings;,Price
not really heavy where you have to pay large amount for,Price
 it did not look nice enough to give as a gift,Aesthetics
Beautiful does not truly describe this watch.,Aesthetics
elegant,Aesthetics
elegant time piece,Aesthetics
even more beautiful in person,Aesthetics
It looks great,Aesthetics
real show-piece on the wrist,Aesthetics
The watch looked nice enough,Aesthetics
crown (little button on the side) literally broke off,Durability
durable,Durability
Sturdy,Durability
The steel casing is durable to wear and scratching,Durability
easy to read,Ease of Use
the crown is easy to use for the time and date adjustment,Ease of Use
is actually very comfortable,Ergonomics
It's comfortable to wear ,Ergonomics
packaging was a mess when it came,Aesthetics
The return policy is very restrictive,Aesthetics
They don't have a customer service phone number that I could find (I bought from the website). I sent a refund request through a web form on their site. No answer yet,Aesthetics
dependable,Performance
Good quality as well,Performance
"it keeps great time.
",Performance
It keeps time very well.,Performance
The quartz movement keeps accurate time ,Performance
this watch and it keeps time very poorly,Performance
only $10 at your local jewelry store,Price
"Was perfectly cut and I measured it to make sure and all sides were level and even should I need to combine with another piece.
",Adaptability
"They arrived rolled up but almost immediately layed flat when we took them out of the boxes. Most of the time, things like that keep rolled corners for awhile. These didn't",Aesthetics
Didn't last very long for my purpose.,Durability
durable ,Durability
I have been beating it up for 3 months now with as much as 300lbs and it has not shown any wear from the day it was bought,Durability
It is heavy but very durable,Durability
The seams fit together nicely so there is nothing for the dogs to chew on,Durability
This mat is very solid and durable,Durability
Very heavy duty and durable,Durability
"Worked for a short then started breaking up.
",Durability
much warmer than the concrete floor,Ergonomics
The mats provide enough cushion to be comfortable,Ergonomics
Deadens the sound,Interference
It has a sort of sweet rubbery odor that is bothersome when used indoor.,Interference
It reduces noise ,Interference
No stinky smell,Interference
does the job well,Performance
Excellent for use as an excercise or equipment mat,Performance
I am using it as a buffer between file cabinets and a butcher block for an office desk and it is protecting both surfaces while preventing the butcher block from slipping off the cabinets,Performance
protect the floor from scuffs and marks,Performance
quality product,Performance
They are excellent quality! ,Performance
 price,Price
Best price for quality product,Price
reasonable price,Price
This was worth the investment.,Price
"I am a fan of the more compact size too.
",Adaptability
 because there is no color selection,Aesthetics
I'm not a big fan of the colors that I got,Aesthetics
"Just wish I could have chosen the color. Brown is boring to me. Love this product.
",Aesthetics
"I wish it had 3 subject dividers, instead of the two.",Interference
"poor materials and fell apart quickly
",Durability
Sturdy notebook,Durability
